發病日,居住縣市,居住鄉鎮,確定病例數
2023-08-12,台南市,關廟區,1
2023-08-12,新竹市,東區,1
2023-08-12,新竹縣,竹北市,1
2023-08-12,雲林縣,古坑鄉,9
2023-08-12,高雄市,仁武區,1
2023-08-12,高雄市,左營區,2
2023-08-13,台北市,文山區,1
2023-08-13,台南市,仁德區,2
2023-08-13,台南市,北區,6
2023-08-13,台南市,南化區,1
2023-08-13,台南市,南區,4
2023-08-13,台南市,安南區,13
2023-08-13,台南市,東區,17
2023-08-13,台南市,歸仁區,1
2023-08-13,台南市,永康區,10
2023-08-13,桃園市,楊梅區,1
2023-08-13,雲林縣,古坑鄉,8
2023-08-13,雲林縣,斗六市,1
2023-08-13,高雄市,小港區,1
2023-08-13,高雄市,梓官區,1
2023-08-13,高雄市,湖內區,1
2023-08-13,高雄市,苓雅區,1
2023-08-13,高雄市,茄萣區,1
2023-08-14,台南市,中西區,3
2023-08-14,台南市,仁德區,2
2023-08-14,台南市,北區,7
2023-08-14,台南市,南區,8
2023-08-14,台南市,安南區,10
2023-08-14,台南市,安平區,1
2023-08-14,台南市,東區,12
2023-08-14,台南市,歸仁區,3
2023-08-14,台南市,永康區,14
2023-08-14,嘉義縣,大林鎮,1
2023-08-14,新北市,八里區,1
2023-08-14,雲林縣,古坑鄉,6
2023-08-14,雲林縣,斗六市,2
2023-08-14,高雄市,左營區,1
2023-08-15,台中市,大里區,1
2023-08-15,台南市,中西區,2
2023-08-15,台南市,仁德區,5
2023-08-15,台南市,北區,4
2023-08-15,台南市,南區,8
2023-08-15,台南市,安南區,13
2023-08-15,台南市,安平區,4
2023-08-15,台南市,東區,14
2023-08-15,台南市,歸仁區,3
2023-08-15,台南市,永康區,17
2023-08-15,台南市,關廟區,1
2023-08-15,台南市,麻豆區,1
2023-08-15,雲林縣,古坑鄉,5
2023-08-15,雲林縣,斗六市,3
2023-08-15,高雄市,左營區,1
2023-08-15,高雄市,鳳山區,2
2023-08-16,台南市,中西區,2
2023-08-16,台南市,仁德區,4
2023-08-16,台南市,北區,5
2023-08-16,台南市,南區,2
2023-08-16,台南市,善化區,1
2023-08-16,台南市,安南區,14
2023-08-16,台南市,安平區,1
2023-08-16,台南市,左鎮區,1
2023-08-16,台南市,新化區,1
2023-08-16,台南市,東區,14
2023-08-16,台南市,歸仁區,1
2023-08-16,台南市,永康區,17
2023-08-16,嘉義縣,竹崎鄉,1
2023-08-16,雲林縣,古坑鄉,9
2023-08-16,雲林縣,斗六市,2
2023-08-16,雲林縣,斗南鎮,1
2023-08-16,高雄市,左營區,1
2023-08-17,台南市,中西區,2
