NO,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q111,Q112,Q113,Q114,Q12,Q13,A1,A2,A3,A4,A5,B1,B2,B3,C1,C2,C3,D1,D2,D3,E1,E2,E3,F1,F2,F3,G1,G2,H1,H2,I1,I2,I3,J1,J2,J3,K1,K2,K3,K4,³Æµù
26,1,2,1,1,3,3,2,2,3,3,0,0,1,1,2,2,4,5,4,4,5,4,2,5,4,5,5,5,5,4,6,6,6,6,3,2,6,6,4,4,4,4,5,5,4,4,4,5,3,4,
27,2,1,1,1,1,3,2,2,3,2,0,0,1,1,1,2,4,4,6,5,5,6,5,6,4,5,4,5,5,5,5,6,6,4,3,2,4,2,3,5,1,3,2,1,1,1,3,2,1,6,
28,1,1,1,1,3,4,3,4,3,2,1,0,0,1,2,1,4,4,4,4,4,3,3,3,4,4,4,3,3,3,2,2,2,3,3,3,5,2,3,4,3,3,2,3,2,2,6,6,3,4,
29,1,1,1,1,3,4,3,2,2,1,0,0,1,1,1,2,3,4,5,3,4,4,3,5,5,5,4,5,3,4,5,4,4,4,2,2,4,4,4,3,4,3,3,3,3,3,4,4,1,5,
30,1,1,1,1,1,4,3,3,3,1,1,0,1,0,1,2,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,4,4,4,4,4,4,5,4,4,5,5,5,5,4,4,
31,2,1,1,3,1,4,1,1,2,2,1,1,0,0,2,1,3,4,5,3,3,4,3,2,4,6,4,4,4,5,4,4,4,5,5,5,5,6,6,6,4,4,5,4,5,5,4,4,4,5,
32,2,1,1,1,3,4,3,2,3,1,0,1,1,0,1,1,5,6,5,6,6,5,4,4,6,5,5,6,5,5,2,2,2,3,2,2,4,5,4,4,4,3,2,2,2,2,5,5,4,5,
33,1,2,1,1,2,3,1,1,1,1,1,1,0,0,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
34,1,1,1,1,1,3,4,5,3,3,0,1,1,0,1,1,2,2,3,3,3,5,4,4,5,4,4,5,5,5,5,5,5,2,2,5,5,5,3,4,2,2,4,1,1,3,5,5,1,4,
35,1,1,1,1,2,4,2,2,2,3,1,1,0,0,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
36,1,2,1,1,4,4,2,2,1,2,1,0,1,0,2,2,4,3,3,4,5,4,2,4,6,4,6,6,3,5,2,2,2,1,1,3,5,6,1,6,3,3,3,1,3,2,4,5,1,3,
37,2,1,1,1,1,3,2,2,2,2,1,0,1,0,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
38,1,1,1,1,3,4,1,1,3,1,1,0,0,1,2,2,4,4,4,4,4,4,4,4,5,4,5,4,4,4,4,4,5,3,3,3,5,6,3,3,3,3,3,2,2,2,2,2,2,4,
39,2,1,1,1,1,1,2,2,3,1,0,0,1,1,1,1,4,5,4,5,5,4,5,4,5,4,5,5,5,4,4,4,4,5,4,4,4,4,5,3,4,4,4,3,3,3,4,4,2,5,
40,1,2,1,1,2,4,2,2,1,1,0,0,1,1,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
41,2,1,1,2,2,4,2,2,2,1,0,0,1,1,2,1,5,5,5,5,5,5,5,5,5,5,5,6,6,6,5,5,5,6,6,6,6,6,5,6,5,5,4,6,6,6,5,6,6,6,
42,2,1,1,1,1,4,1,1,2,1,0,1,1,0,4,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
43,1,2,3,1,4,3,5,2,3,2,1,0,1,0,2,1,5,5,5,5,4,4,4,4,5,5,5,5,5,5,4,4,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,5,
44,2,1,1,1,2,4,3,2,3,1,0,0,1,1,2,1,4,4,4,4,4,3,3,4,4,4,4,4,2,4,5,5,5,4,3,3,4,4,5,4,3,4,4,3,3,3,3,4,3,3,
45,1,1,1,1,1,4,3,2,3,2,0,1,0,1,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
46,1,2,1,1,1,4,1,2,1,2,0,0,1,1,1,2,3,4,3,4,4,4,2,3,4,4,5,5,4,5,3,4,5,5,4,4,3,2,4,3,3,3,2,5,4,5,4,3,1,2,
47,1,2,3,1,6,4,3,2,3,2,1,0,1,0,2,1,3,4,4,4,4,4,3,5,6,4,6,6,3,5,3,3,6,2,2,3,4,4,3,3,3,3,3,2,2,3,3,3,3,3,
48,1,1,1,1,2,4,1,1,2,2,0,0,1,1,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
49,1,2,2,1,4,4,1,1,3,1,0,1,1,0,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
