發病日,居住縣市,居住鄉鎮,確定病例數
2014-08-03,高雄市,鳳山區,1
2014-08-04,高雄市,前鎮區,2
2014-08-04,高雄市,小港區,5
2014-08-04,高雄市,苓雅區,7
2014-08-04,高雄市,鳳山區,1
2014-08-05,高雄市,三民區,1
2014-08-05,高雄市,大寮區,1
2014-08-05,高雄市,小港區,3
2014-08-05,高雄市,左營區,1
2014-08-05,高雄市,楠梓區,1
2014-08-05,高雄市,苓雅區,4
2014-08-05,高雄市,鳳山區,4
2014-08-06,高雄市,三民區,1
2014-08-06,高雄市,仁武區,1
2014-08-06,高雄市,前鎮區,3
2014-08-06,高雄市,小港區,6
2014-08-06,高雄市,左營區,1
2014-08-06,高雄市,苓雅區,6
2014-08-06,高雄市,鳳山區,3
2014-08-07,高雄市,三民區,1
2014-08-07,高雄市,前鎮區,5
2014-08-07,高雄市,小港區,1
2014-08-07,高雄市,新興區,1
2014-08-07,高雄市,苓雅區,7
2014-08-07,高雄市,鳥松區,1
2014-08-07,高雄市,鳳山區,3
2014-08-08,屏東縣,內埔鄉,1
2014-08-08,高雄市,三民區,1
2014-08-08,高雄市,前鎮區,3
2014-08-08,高雄市,大寮區,2
2014-08-08,高雄市,大樹區,1
2014-08-08,高雄市,小港區,5
2014-08-08,高雄市,苓雅區,8
2014-08-08,高雄市,鳳山區,4
2014-08-08,高雄市,鹽埕區,1
2014-08-09,高雄市,前鎮區,2
2014-08-09,高雄市,小港區,7
2014-08-09,高雄市,左營區,1
2014-08-09,高雄市,新興區,1
2014-08-09,高雄市,林園區,1
2014-08-09,高雄市,苓雅區,9
2014-08-09,高雄市,鳳山區,2
2014-08-10,高雄市,三民區,2
2014-08-10,高雄市,仁武區,1
2014-08-10,高雄市,前鎮區,1
2014-08-10,高雄市,小港區,3
2014-08-10,高雄市,左營區,1
2014-08-10,高雄市,林園區,1
2014-08-10,高雄市,苓雅區,9
2014-08-10,高雄市,鳳山區,3
2014-08-11,高雄市,三民區,1
2014-08-11,高雄市,前鎮區,6
2014-08-11,高雄市,大寮區,2
2014-08-11,高雄市,小港區,3
2014-08-11,高雄市,旗山區,1
2014-08-11,高雄市,旗津區,1
2014-08-11,高雄市,苓雅區,11
2014-08-11,高雄市,鳳山區,4
2014-08-11,高雄市,鹽埕區,1
2014-08-12,高雄市,前鎮區,2
2014-08-12,高雄市,小港區,5
2014-08-12,高雄市,楠梓區,1
2014-08-12,高雄市,苓雅區,11
2014-08-12,高雄市,鳳山區,9
2014-08-12,高雄市,鹽埕區,1
2014-08-13,屏東縣,屏東市,1
2014-08-13,高雄市,三民區,2
2014-08-13,高雄市,前鎮區,5
2014-08-13,高雄市,小港區,4
2014-08-13,高雄市,左營區,1
2014-08-13,高雄市,苓雅區,10
2014-08-13,高雄市,鳳山區,3
2014-08-13,高雄市,鼓山區,4
2014-08-14,台南市,東區,1
